,10th,20th,30th,40th,50th,60th,70th,80th,90th
min_r,5.717869558046907,6.074747003240947,6.489755498590246,6.944311412241257,7.42887249884204,8.053950906231687,9.072638425407561,10.708627063689544,13.979042320898156
max_phi_dev,0.0013095705215981912,0.001890607810863565,0.002385653217555417,0.0029365148859286983,0.003613752523619382,0.004402388835975124,0.00558370794657026,0.00879815937611208,0.035931997158777866
max_phi_in_consecutive,0.0012118637734234855,0.0018450380016416634,0.0023415576380318437,0.0028745772597075004,0.003552943352608806,0.004356721959618603,0.005533272509527909,0.00862454060958695,0.033468804510570084
